,0,1,4,5,6,7,8,10,11,12
50-4000,0.0366,0.0631,0.0591,0.0672,0.0757,0.0538,0.0326,0.0923,0.0553,0.0314
50-4500,0.0283,0.0656,0.0658,0.0726,0.0732,0.07,0.0716,0.062,0.0722,0.0442
50-5000,0.0396,0.0455,0.0594,0.0519,0.0666,0.0637,0.0677,0.1113,0.0702,0.0593
50-5500,0.1192,0.0643,0.0634,0.0454,0.071,0.0591,0.0637,0.0744,0.1471,0.0904
50-6000,0.0594,0.0662,0.0606,0.0339,0.0694,0.0619,0.071,0.0579,0.0518,0.048
50-6500,0.0411,0.1509,0.0429,0.0215,0.1874,0.0702,0.0478,0.0426,0.0637,0.0407
50-7000,0.0846,0.0581,0.0616,0.0531,0.0749,0.054,0.0328,0.0868,0.0736,0.0726
75-4000,0.0443,0.0759,0.0611,0.0769,0.0556,0.0975,0.0457,0.0857,0.0731,0.0848
75-4500,0.0323,0.0686,0.0422,0.0608,0.0509,0.0732,0.0709,0.0696,0.0853,0.0595
75-5000,0.0514,0.0501,0.0665,0.0997,0.0661,0.0801,0.0936,0.0568,0.0726,0.0438
75-5500,0.0581,0.0586,0.0428,0.0823,0.1201,0.051,0.0609,0.0503,0.0202,0.0581
75-6000,0.0489,0.0418,0.064,0.0666,0.0947,0.0722,0.0574,0.1396,0.073,0.0175
75-6500,0.0769,0.0611,0.0348,0.0767,0.0681,0.0907,0.0531,0.0861,0.0669,0.0549
75-7000,0.0513,0.0349,0.0955,0.0824,0.0788,0.0814,0.0561,0.1138,0.063,0.0464
100-4000,0.0718,0.0705,0.0218,0.0614,0.0438,0.0906,0.0402,0.049,0.0282,0.0299
100-4500,0.0569,0.0712,0.0449,0.0697,0.0303,0.135,0.0477,0.0577,0.0917,0.0653
100-5000,0.0766,0.0713,0.0628,0.0639,0.037,0.1239,0.0363,0.0349,0.0408,0.0402
100-5500,0.0796,0.1008,0.0399,0.0524,0.0637,0.1076,0.0746,0.0649,0.053,0.0614
100-6000,0.1316,0.0714,0.0594,0.0692,0.0565,0.131,0.0733,0.1559,0.1037,0.0392
100-6500,0.0759,0.2423,0.0396,0.038,0.06,0.1034,0.0666,0.0457,0.0694,0.0928
100-7000,0.0818,0.0905,0.0729,0.0799,0.0676,0.1075,0.1183,0.1303,0.1183,0.0399
125-4000,0.044,0.0545,0.1126,0.0833,0.2178,0.153,0.0601,0.1187,0.2009,0.1621
125-4500,0.1546,0.0822,0.0399,0.0329,0.0507,0.1697,0.0994,0.1685,0.0777,0.0529
125-5000,0.1007,0.0862,0.1117,0.0629,0.1435,0.0909,0.0626,0.1035,0.1585,0.1024
125-5500,0.0485,0.0526,0.1323,0.0656,0.0341,0.1498,0.1229,0.1052,0.1247,0.0495
125-6000,0.1608,0.1294,0.0758,0.0845,0.2291,0.2241,0.0941,0.1962,0.1133,0.0632
125-6500,0.2545,0.0878,0.0875,0.0846,0.0567,0.1486,0.0462,0.0619,0.1678,0.0689
125-7000,0.1404,0.1684,0.1297,0.0823,0.0886,0.2822,0.0887,0.1804,0.1983,0.1193
150-4000,0.1365,0.1119,0.1309,0.141,0.0712,0.2538,0.2306,0.13,0.3064,0.1049
150-4500,0.185,0.2221,0.1227,0.1578,0.1385,0.2269,0.0516,0.1098,0.0816,0.0469
150-5000,0.0352,0.0862,0.1707,0.1444,0.1854,0.2952,0.1934,0.2665,0.1823,0.1248
150-5500,0.0831,0.0611,0.0734,0.1327,0.1231,0.122,0.0579,0.1525,0.2451,0.0364
150-6000,0.1179,0.1015,0.1297,0.1014,0.1647,0.2688,0.1084,0.0994,0.113,0.2185
150-6500,0.1246,0.1097,0.1123,0.0799,0.2735,0.1415,0.0549,0.1852,0.1382,0.0953
150-7000,0.1564,0.1225,0.1159,0.1753,0.1601,0.1319,0.097,0.1522,0.2074,0.2516
