,0,1,4,5,6,7,8,10,11,12
50-4000,0.0438,0.0324,0.0599,0.0361,0.0652,0.0734,0.0552,0.0475,0.0243,0.027
50-4500,0.0384,0.0326,0.0641,0.0411,0.0386,0.0413,0.0238,0.0608,0.0437,0.0272
50-5000,0.0575,0.0699,0.0343,0.0596,0.0263,0.0187,0.1197,0.0539,0.0393,0.0328
50-5500,0.0566,0.0364,0.0623,0.0269,0.0423,0.0667,0.0522,0.046,0.0707,0.0373
50-6000,0.0425,0.0263,0.0347,0.0437,0.0495,0.0154,0.0378,0.0456,0.0655,0.0181
50-6500,0.1237,0.0464,0.0507,0.036,0.0438,0.0514,0.0511,0.0394,0.0524,0.0245
50-7000,0.0496,0.0252,0.0387,0.0278,0.0206,0.0122,0.0571,0.0897,0.0686,0.0629
75-4000,0.0227,0.0513,0.0485,0.0278,0.0297,0.0451,0.039,0.0316,0.057,0.0366
75-4500,0.0492,0.0175,0.0425,0.0535,0.0535,0.0359,0.0723,0.049,0.0567,0.0617
75-5000,0.03,0.0498,0.0394,0.0346,0.0605,0.013,0.1066,0.0619,0.0779,0.0551
75-5500,0.0672,0.0453,0.0401,0.0628,0.0839,0.0382,0.0498,0.0461,0.1115,0.08
75-6000,0.0252,0.0532,0.0399,0.0408,0.0549,0.0296,0.0455,0.0601,0.0706,0.0331
75-6500,0.0965,0.0356,0.0378,0.0466,0.0843,0.0252,0.0321,0.0524,0.1303,0.0316
75-7000,0.0502,0.0478,0.0487,0.0619,0.0606,0.029,0.1408,0.0653,0.0957,0.0499
100-4000,0.078,0.0461,0.0256,0.045,0.0917,0.0766,0.0781,0.0549,0.0894,0.0634
100-4500,0.0631,0.0317,0.061,0.0623,0.0863,0.0864,0.0597,0.0444,0.0429,0.0452
100-5000,0.0348,0.047,0.0264,0.0593,0.1674,0.0223,0.1082,0.05,0.0523,0.03
100-5500,0.1433,0.0493,0.0321,0.0756,0.1188,0.0656,0.0511,0.0488,0.0893,0.0759
100-6000,0.0371,0.0509,0.0374,0.0607,0.0886,0.1016,0.0602,0.0627,0.0509,0.0327
100-6500,0.1228,0.0658,0.0585,0.0564,0.1449,0.0916,0.0937,0.057,0.0624,0.0686
100-7000,0.0488,0.0765,0.0415,0.0886,0.0968,0.0864,0.0763,0.0732,0.0508,0.0589
125-4000,0.0232,0.0828,0.0866,0.0758,0.0903,0.1252,0.1238,0.1163,0.0995,0.0393
125-4500,0.0794,0.0737,0.0563,0.0493,0.1459,0.1312,0.0357,0.0846,0.2052,0.0991
125-5000,0.1012,0.0776,0.0495,0.0569,0.0696,0.0795,0.0365,0.1008,0.0686,0.1687
125-5500,0.1192,0.0718,0.0988,0.0657,0.1619,0.1087,0.0417,0.0744,0.0697,0.0892
125-6000,0.0668,0.0662,0.0528,0.0416,0.1672,0.1387,0.0999,0.0377,0.1185,0.056
125-6500,0.2003,0.058,0.0497,0.0694,0.1852,0.1185,0.1194,0.115,0.1452,0.0599
125-7000,0.0574,0.1463,0.1156,0.0678,0.1273,0.2492,0.0704,0.1011,0.1386,0.0571
150-4000,0.0487,0.1379,0.1764,0.0771,0.102,0.1959,0.1306,0.1046,0.2176,0.0684
150-4500,0.3066,0.0868,0.124,0.1019,0.0464,0.1303,0.1053,0.0965,0.1261,0.1037
150-5000,0.1136,0.1702,0.1549,0.0694,0.0788,0.1683,0.1745,0.095,0.2046,0.0441
150-5500,0.1822,0.0624,0.1024,0.1535,0.1098,0.0852,0.1047,0.097,0.2472,0.0777
150-6000,0.1134,0.0512,0.1119,0.0521,0.1255,0.1186,0.202,0.1976,0.1738,0.098
150-6500,0.2862,0.0338,0.1812,0.0262,0.1691,0.1559,0.2508,0.1194,0.1115,0.0502
150-7000,0.0425,0.1505,0.1575,0.0513,0.257,0.0617,0.1217,0.1117,0.125,0.032
